event,game,delta_lead,delta_second,delta_third,delta_fourth,delta_backend_zeroes,ends_remaining,team_a_hammer,LSFE_a,is_even_end,a_margin,a_win_game
2026 Scotties Tournament of Hearts,3d0c0566,-3,-3,-2,1,0,9,1,1,0,1,0
2026 Scotties Tournament of Hearts,3d0c0566,-2,4,2,-2,1,8,0,1,1,-1,0
2026 Scotties Tournament of Hearts,3d0c0566,2,1,-5,-4,2,7,1,1,0,-1,0
2026 Scotties Tournament of Hearts,3d0c0566,1,2,4,-2,1,6,1,1,1,1,0
2026 Scotties Tournament of Hearts,3d0c0566,4,0,0,-4,0,5,0,1,0,-3,0
2026 Scotties Tournament of Hearts,3d0c0566,1,3,0,-2,0,4,1,1,1,0,0
2026 Scotties Tournament of Hearts,3d0c0566,-2,0,-7,0,1,3,1,1,0,0,0
2026 Scotties Tournament of Hearts,3d0c0566,1,5,4,1,0,2,1,1,1,3,0
2026 Scotties Tournament of Hearts,3d0c0566,0,2,4,0,0,1,0,1,0,-1,0
2026 Scotties Tournament of Hearts,3d0c0566,1,0,0,-4,1,0,1,1,1,-1,0
2026 Scotties Tournament of Hearts,ffed4f6f,0,2,-7,0,1,9,1,1,0,1,1
2026 Scotties Tournament of Hearts,ffed4f6f,0,3,0,2,0,8,0,1,1,-1,1
2026 Scotties Tournament of Hearts,ffed4f6f,2,0,-1,-2,1,7,1,1,0,0,1
2026 Scotties Tournament of Hearts,ffed4f6f,1,1,-1,2,0,6,1,1,1,1,1
2026 Scotties Tournament of Hearts,ffed4f6f,-2,0,0,0,0,5,0,1,0,0,1
2026 Scotties Tournament of Hearts,ffed4f6f,1,-1,4,4,-1,4,0,1,1,-1,1
2026 Scotties Tournament of Hearts,ffed4f6f,0,2,-1,4,0,3,1,1,0,4,1
2026 Scotties Tournament of Hearts,ffed4f6f,-1,2,2,0,0,2,0,1,1,-2,1
2026 Scotties Tournament of Hearts,ffed4f6f,0,-1,-2,-5,1,1,1,1,0,-3,1
2026 Scotties Tournament of Hearts,ffed4f6f,-2,3,-1,-2,0,0,1,1,1,3,1
2026 Scotties Tournament of Hearts,8ccb5d11,0,-1,0,1,0,9,1,1,0,1,1
2026 Scotties Tournament of Hearts,8ccb5d11,0,1,0,-4,1,8,0,1,1,-2,1
2026 Scotties Tournament of Hearts,8ccb5d11,1,1,0,-3,0,7,1,1,0,-1,1
2026 Scotties Tournament of Hearts,8ccb5d11,0,0,1,1,0,6,1,1,1,2,1
2026 Scotties Tournament of Hearts,8ccb5d11,0,3,3,0,0,5,0,1,0,-1,1
2026 Scotties Tournament of Hearts,8ccb5d11,1,1,-5,1,1,4,1,1,1,1,1
2026 Scotties Tournament of Hearts,8ccb5d11,0,1,-1,-3,0,3,0,1,0,-3,1
2026 Scotties Tournament of Hearts,8ccb5d11,0,6,2,3,0,2,1,1,1,3,1
2026 Scotties Tournament of Hearts,8ccb5d11,1,-1,0,5,-1,1,0,1,0,-1,1
2026 Scotties Tournament of Hearts,8ccb5d11,-4,0,4,0,0,0,1,1,1,2,1
2026 Scotties Tournament of Hearts,83f4211c,-3,0,-2,-1,0,9,1,1,0,-1,0
2026 Scotties Tournament of Hearts,83f4211c,0,1,-2,-1,0,8,1,1,1,1,0
2026 Scotties Tournament of Hearts,83f4211c,4,-1,0,-2,0,7,0,1,0,-2,0
2026 Scotties Tournament of Hearts,83f4211c,1,2,0,2,0,6,1,1,1,2,0
2026 Scotties Tournament of Hearts,83f4211c,1,0,0,3,-1,5,0,1,0,1,0
2026 Scotties Tournament of Hearts,83f4211c,-1,-2,0,-4,0,4,0,1,1,-2,0
2026 Scotties Tournament of Hearts,83f4211c,0,-2,-2,0,0,3,1,1,0,0,0
2026 Scotties Tournament of Hearts,83f4211c,2,2,1,0,0,2,1,1,1,0,0
2026 Scotties Tournament of Hearts,83f4211c,-2,-1,1,-4,1,1,1,1,0,-2,0
2026 Scotties Tournament of Hearts,83f4211c,0,-1,-2,-6,1,0,1,1,1,-2,0
2026 Scotties Tournament of Hearts,d0e16603,-2,-3,-3,-1,0,9,0,0,0,-3,0
2026 Scotties Tournament of Hearts,d0e16603,-2,1,-2,0,1,8,1,0,1,1,0
2026 Scotties Tournament of Hearts,d0e16603,-3,-1,-1,-2,0,7,0,0,0,-3,0
2026 Scotties Tournament of Hearts,d0e16603,3,-2,-1,-2,1,6,1,0,1,-1,0
2026 Scotties Tournament of Hearts,d0e16603,0,0,1,2,0,5,1,0,0,2,0
2026 Scotties Tournament of Hearts,d0e16603,2,1,-1,-3,0,4,0,0,1,-3,0
2026 Scotties Tournament of Hearts,d0e16603,3,4,1,2,-1,3,1,0,0,1,0
2026 Scotties Tournament of Hearts,d0e16603,-2,-3,2,-1,0,2,0,0,1,-3,0
2026 Scotties Tournament of Hearts,abb0266a,0,2,1,-4,1,9,1,1,0,1,1
2026 Scotties Tournament of Hearts,abb0266a,1,4,2,6,-1,8,0,1,1,2,1
2026 Scotties Tournament of Hearts,abb0266a,6,5,-4,4,-1,7,0,1,0,-1,1
2026 Scotties Tournament of Hearts,abb0266a,4,-1,3,7,-1,6,1,1,1,3,1
2026 Scotties Tournament of Hearts,abb0266a,-3,1,-3,-5,0,5,0,1,0,-3,1
2026 Scotties Tournament of Hearts,abb0266a,4,-2,1,0,0,4,1,1,1,0,1
2026 Scotties Tournament of Hearts,abb0266a,4,2,2,6,-1,3,1,1,0,2,1
2026 Scotties Tournament of Hearts,abb0266a,0,-2,2,0,0,2,0,1,1,-1,1
2026 Scotties Tournament of Hearts,abb0266a,0,1,-1,0,0,1,1,1,0,1,1
2026 Scotties Tournament of Hearts,815df206,-1,1,2,1,1,9,1,1,0,3,1
2026 Scotties Tournament of Hearts,815df206,0,2,3,1,0,8,0,1,1,1,1
2026 Scotties Tournament of Hearts,815df206,1,1,1,-2,0,7,0,1,0,-2,1
2026 Scotties Tournament of Hearts,815df206,-3,0,1,4,0,6,1,1,1,1,1
2026 Scotties Tournament of Hearts,815df206,0,1,2,0,0,5,0,1,0,-1,1
2026 Scotties Tournament of Hearts,815df206,0,3,2,3,0,4,1,1,1,2,1
2026 Scotties Tournament of Hearts,815df206,0,3,3,1,0,3,0,1,0,-1,1
2026 Scotties Tournament of Hearts,815df206,1,0,1,3,0,2,1,1,1,3,1
2026 Scotties Tournament of Hearts,c42e13e9,-2,0,1,0,0,9,0,0,0,-1,0
2026 Scotties Tournament of Hearts,c42e13e9,3,4,0,3,0,8,1,0,1,3,0
2026 Scotties Tournament of Hearts,c42e13e9,0,1,0,3,-1,7,0,0,0,2,0
2026 Scotties Tournament of Hearts,c42e13e9,1,2,0,1,0,6,0,0,1,-1,0
2026 Scotties Tournament of Hearts,c42e13e9,-3,4,5,-4,0,5,1,0,0,1,0
2026 Scotties Tournament of Hearts,c42e13e9,0,-2,3,-1,0,4,0,0,1,-4,0
2026 Scotties Tournament of Hearts,c42e13e9,-1,1,1,-2,0,3,1,0,0,1,0
2026 Scotties Tournament of Hearts,c42e13e9,0,-1,-1,0,0,2,0,0,1,-1,0
2026 Scotties Tournament of Hearts,c42e13e9,0,1,-6,-5,2,1,1,0,0,-3,0
2026 Scotties Tournament of Hearts,c48410cb,0,0,3,0,0,9,1,1,0,0,1
2026 Scotties Tournament of Hearts,c48410cb,0,0,0,4,0,8,1,1,1,3,1
2026 Scotties Tournament of Hearts,c48410cb,0,0,1,5,-1,7,0,1,0,2,1
2026 Scotties Tournament of Hearts,c48410cb,0,0,-1,0,0,6,0,1,1,-2,1
2026 Scotties Tournament of Hearts,c48410cb,1,-2,0,0,0,5,1,1,0,1,1
2026 Scotties Tournament of Hearts,c48410cb,-2,1,3,0,0,4,0,1,1,-1,1
2026 Scotties Tournament of Hearts,c48410cb,3,-2,1,5,-1,3,1,1,0,2,1
2026 Scotties Tournament of Hearts,c48410cb,-1,-2,5,1,-1,2,0,1,1,-1,1
2026 Scotties Tournament of Hearts,c48410cb,0,0,2,1,0,1,1,1,0,3,1
2026 Scotties Tournament of Hearts,587dc2ea,4,0,2,-1,-1,9,1,1,0,1,1
2026 Scotties Tournament of Hearts,587dc2ea,0,-2,2,1,0,8,0,1,1,-1,1
2026 Scotties Tournament of Hearts,587dc2ea,-3,0,2,-3,1,7,1,1,0,1,1
2026 Scotties Tournament of Hearts,587dc2ea,5,-1,-2,7,-1,6,0,1,1,1,1
2026 Scotties Tournament of Hearts,587dc2ea,-1,0,-3,3,-2,5,0,1,0,-1,1
2026 Scotties Tournament of Hearts,587dc2ea,-2,0,1,4,0,4,1,1,1,2,1
2026 Scotties Tournament of Hearts,587dc2ea,-1,-2,4,3,-3,3,0,1,0,-1,1
2026 Scotties Tournament of Hearts,587dc2ea,1,5,2,4,-1,2,1,1,1,2,1
2026 Scotties Tournament of Hearts,587dc2ea,-2,-4,3,6,-1,1,0,1,0,4,1
2026 Scotties Tournament of Hearts,fc28c8f8,-4,-2,0,6,-2,9,0,0,0,1,1
2026 Scotties Tournament of Hearts,fc28c8f8,3,-3,1,-5,0,8,0,0,1,-2,1
2026 Scotties Tournament of Hearts,fc28c8f8,-6,-1,-4,-1,0,7,1,0,0,1,1
2026 Scotties Tournament of Hearts,fc28c8f8,-2,-1,-2,-3,0,6,0,0,1,-2,1
2026 Scotties Tournament of Hearts,fc28c8f8,0,0,-2,6,-1,5,1,0,0,4,1
2026 Scotties Tournament of Hearts,fc28c8f8,1,3,2,5,-1,4,0,0,1,1,1
2026 Scotties Tournament of Hearts,fc28c8f8,1,4,3,-1,0,3,0,0,0,-1,1
2026 Scotties Tournament of Hearts,fc28c8f8,1,1,2,-5,1,2,1,0,1,1,1
2026 Scotties Tournament of Hearts,fc28c8f8,-1,1,4,4,-2,1,0,0,0,2,1
2026 Scotties Tournament of Hearts,a00a6162,0,-2,-5,3,-1,9,0,0,0,1,0
2026 Scotties Tournament of Hearts,a00a6162,1,1,1,1,0,8,0,0,1,-1,0
2026 Scotties Tournament of Hearts,a00a6162,0,-2,-1,4,0,7,1,0,0,2,0
2026 Scotties Tournament of Hearts,a00a6162,2,2,-2,-5,1,6,0,0,1,-2,0
2026 Scotties Tournament of Hearts,a00a6162,-1,2,-1,4,-1,5,1,0,0,2,0
2026 Scotties Tournament of Hearts,a00a6162,4,3,-1,-5,0,4,0,0,1,-2,0
2026 Scotties Tournament of Hearts,a00a6162,0,3,2,1,0,3,1,0,0,1,0
2026 Scotties Tournament of Hearts,a00a6162,-5,3,-6,0,1,2,0,0,1,0,0
2026 Scotties Tournament of Hearts,a00a6162,0,0,-1,-2,0,1,0,0,0,0,0
2026 Scotties Tournament of Hearts,84c5cba8,-3,0,-1,1,0,9,1,1,0,2,0
2026 Scotties Tournament of Hearts,84c5cba8,-4,1,0,1,0,8,0,1,1,-1,0
2026 Scotties Tournament of Hearts,84c5cba8,-1,1,-2,-4,1,7,1,1,0,-2,0
2026 Scotties Tournament of Hearts,84c5cba8,1,-2,1,0,0,6,1,1,1,2,0
2026 Scotties Tournament of Hearts,84c5cba8,3,1,1,-2,0,5,0,1,0,-2,0
2026 Scotties Tournament of Hearts,84c5cba8,-2,2,1,0,1,4,1,1,1,1,0
2026 Scotties Tournament of Hearts,84c5cba8,1,1,1,-1,0,3,0,1,0,-1,0
2026 Scotties Tournament of Hearts,84c5cba8,-1,1,0,0,0,2,1,1,1,1,0
2026 Scotties Tournament of Hearts,84c5cba8,3,0,-2,-8,2,1,0,1,0,-5,0
2026 Scotties Tournament of Hearts,fbf35df9,0,5,-2,-3,0,9,0,0,0,-2,1
2026 Scotties Tournament of Hearts,fbf35df9,1,3,0,4,0,8,1,0,1,4,1
2026 Scotties Tournament of Hearts,fbf35df9,2,4,2,2,0,7,0,0,0,1,1
2026 Scotties Tournament of Hearts,fbf35df9,0,-3,1,0,-1,6,0,0,1,-1,1
2026 Scotties Tournament of Hearts,fbf35df9,0,-2,2,-1,1,5,1,0,0,1,1
2026 Scotties Tournament of Hearts,fbf35df9,-1,-1,-3,-1,0,4,0,0,1,-2,1
2026 Scotties Tournament of Hearts,fbf35df9,-1,3,2,2,-1,3,1,0,0,3,1
2026 Scotties Tournament of Hearts,fbf35df9,0,-2,1,4,-1,2,0,0,1,1,1
2026 Scotties Tournament of Hearts,55c8b315,0,0,-4,0,0,9,1,1,0,1,1
2026 Scotties Tournament of Hearts,55c8b315,2,-3,0,0,0,8,0,1,1,-1,1
2026 Scotties Tournament of Hearts,55c8b315,1,3,0,2,0,7,1,1,0,2,1
2026 Scotties Tournament of Hearts,55c8b315,-3,0,-3,-1,0,6,0,1,1,-2,1
2026 Scotties Tournament of Hearts,55c8b315,-2,2,0,2,0,5,1,1,0,2,1
2026 Scotties Tournament of Hearts,55c8b315,-1,2,2,-2,0,4,0,1,1,-2,1
2026 Scotties Tournament of Hearts,55c8b315,0,5,0,2,0,3,1,1,0,2,1
2026 Scotties Tournament of Hearts,55c8b315,1,1,0,0,0,2,0,1,1,-1,1
2026 Scotties Tournament of Hearts,55c8b315,3,0,0,3,0,1,1,1,0,2,1
2026 Scotties Tournament of Hearts,2d18686d,-4,0,0,2,-1,9,0,0,0,0,0
2026 Scotties Tournament of Hearts,2d18686d,0,0,-2,-4,1,8,0,0,1,-3,0
2026 Scotties Tournament of Hearts,2d18686d,-3,-2,-1,0,1,7,1,0,0,2,0
2026 Scotties Tournament of Hearts,2d18686d,3,0,2,-1,0,6,0,0,1,-1,0
2026 Scotties Tournament of Hearts,2d18686d,-3,2,-3,-5,1,5,1,0,0,-2,0
2026 Scotties Tournament of Hearts,2d18686d,1,5,0,4,0,4,1,0,1,2,0
2026 Scotties Tournament of Hearts,2d18686d,1,0,0,3,-1,3,0,0,0,0,0
2026 Scotties Tournament of Hearts,2d18686d,-1,0,-1,0,0,2,0,0,1,-1,0
2026 Scotties Tournament of Hearts,2d18686d,-1,0,2,-1,0,1,1,0,0,1,0
2026 Scotties Tournament of Hearts,2d18686d,1,1,1,-2,0,0,0,0,1,-1,0
2026 Scotties Tournament of Hearts,b1e4940a,3,-6,3,1,-1,9,0,0,0,-1,0
2026 Scotties Tournament of Hearts,b1e4940a,-6,-1,-3,-7,2,8,1,0,1,-2,0
2026 Scotties Tournament of Hearts,b1e4940a,1,3,1,-3,1,7,1,0,0,1,0
2026 Scotties Tournament of Hearts,b1e4940a,3,-2,-6,4,0,6,0,0,1,-1,0
2026 Scotties Tournament of Hearts,b1e4940a,-1,2,-1,-7,1,5,1,0,0,-4,0
2026 Scotties Tournament of Hearts,b1e4940a,1,-3,-2,2,0,4,1,0,1,2,0
2026 Scotties Tournament of Hearts,b1e4940a,4,-1,-3,0,0,3,0,0,0,-3,0
2026 Scotties Tournament of Hearts,b1e4940a,0,-2,0,-1,0,2,1,0,1,1,0
2026 Scotties Tournament of Hearts,c5797d28,1,0,1,-1,0,9,1,1,0,2,1
2026 Scotties Tournament of Hearts,c5797d28,1,2,0,0,0,8,0,1,1,-1,1
2026 Scotties Tournament of Hearts,c5797d28,-2,0,1,-1,0,7,1,1,0,0,1
2026 Scotties Tournament of Hearts,c5797d28,0,1,2,3,0,6,1,1,1,3,1
2026 Scotties Tournament of Hearts,c5797d28,0,1,1,0,0,5,0,1,0,0,1
2026 Scotties Tournament of Hearts,c5797d28,1,0,0,6,-1,4,0,1,1,3,1
2026 Scotties Tournament of Hearts,c5797d28,-4,4,2,0,0,3,0,1,0,0,1
2026 Scotties Tournament of Hearts,c5797d28,4,0,0,3,0,2,0,1,1,-1,1
2026 Scotties Tournament of Hearts,9cc23bcf,4,3,3,4,0,9,0,0,0,0,1
2026 Scotties Tournament of Hearts,9cc23bcf,0,2,2,0,-1,8,0,0,1,0,1
2026 Scotties Tournament of Hearts,9cc23bcf,0,3,4,0,0,7,0,0,0,-1,1
2026 Scotties Tournament of Hearts,9cc23bcf,4,-1,-3,0,0,6,1,0,1,1,1
2026 Scotties Tournament of Hearts,9cc23bcf,0,-1,0,4,-1,5,0,0,0,-1,1
2026 Scotties Tournament of Hearts,9cc23bcf,0,-2,0,-1,0,4,1,0,1,1,1
2026 Scotties Tournament of Hearts,9cc23bcf,1,1,3,0,-1,3,0,0,0,-2,1
2026 Scotties Tournament of Hearts,9cc23bcf,0,0,-2,-1,0,2,1,0,1,-1,1
2026 Scotties Tournament of Hearts,9cc23bcf,0,1,3,0,0,1,1,0,0,2,1
2026 Scotties Tournament of Hearts,9cc23bcf,4,2,2,4,-1,0,0,0,1,2,1
2026 Scotties Tournament of Hearts,f66eed39,0,-3,-2,2,0,9,0,0,0,0,0
2026 Scotties Tournament of Hearts,f66eed39,5,4,1,2,0,8,0,0,1,-1,0
2026 Scotties Tournament of Hearts,f66eed39,-1,-3,-4,1,1,7,1,0,0,-1,0
2026 Scotties Tournament of Hearts,f66eed39,-3,-3,-4,-4,1,6,1,0,1,-3,0
2026 Scotties Tournament of Hearts,f66eed39,1,-7,-5,-4,1,5,1,0,0,-2,0
2026 Scotties Tournament of Hearts,f66eed39,2,4,0,-2,0,4,1,0,1,2,0
2026 Scotties Tournament of Hearts,f66eed39,3,-4,0,-4,1,3,0,0,0,0,0
2026 Scotties Tournament of Hearts,f66eed39,0,0,4,2,0,2,0,0,1,-1,0
2026 Scotties Tournament of Hearts,a33c173c,-1,-2,0,4,-1,9,0,0,0,1,0
2026 Scotties Tournament of Hearts,a33c173c,0,-1,2,1,0,8,0,0,1,-3,0
2026 Scotties Tournament of Hearts,a33c173c,4,-1,-3,-4,1,7,1,0,0,-2,0
2026 Scotties Tournament of Hearts,a33c173c,3,0,-3,-1,0,6,1,0,1,1,0
2026 Scotties Tournament of Hearts,a33c173c,1,-2,5,0,0,5,0,0,0,-2,0
2026 Scotties Tournament of Hearts,a33c173c,0,-2,-5,-3,1,4,1,0,1,-1,0
2026 Scotties Tournament of Hearts,a33c173c,1,-3,-5,0,0,3,1,0,0,-1,0
2026 Scotties Tournament of Hearts,a33c173c,7,-1,-2,2,0,2,1,0,1,2,0
2026 Scotties Tournament of Hearts,bdbd2f46,-3,-2,2,2,0,9,0,0,0,0,0
2026 Scotties Tournament of Hearts,bdbd2f46,-1,2,-3,-3,0,8,0,0,1,-3,0
2026 Scotties Tournament of Hearts,bdbd2f46,-3,0,0,-2,1,7,1,0,0,0,0
2026 Scotties Tournament of Hearts,bdbd2f46,0,0,0,2,-1,6,1,0,1,1,0
2026 Scotties Tournament of Hearts,bdbd2f46,-4,-2,-5,2,0,5,0,0,0,-2,0
2026 Scotties Tournament of Hearts,bdbd2f46,3,-1,0,-2,1,4,1,0,1,1,0
2026 Scotties Tournament of Hearts,bdbd2f46,-4,0,0,-1,0,3,0,0,0,-1,0
2026 Scotties Tournament of Hearts,bdbd2f46,1,2,-1,1,0,2,1,0,1,1,0
2026 Scotties Tournament of Hearts,bdbd2f46,1,-4,-2,-1,0,1,0,0,0,-3,0
2026 Scotties Tournament of Hearts,46d9b860,0,3,0,0,0,9,1,1,0,0,1
2026 Scotties Tournament of Hearts,46d9b860,5,0,0,0,0,8,1,1,1,1,1
2026 Scotties Tournament of Hearts,46d9b860,1,3,0,0,0,7,0,1,0,0,1
2026 Scotties Tournament of Hearts,46d9b860,0,-1,-1,3,0,6,0,1,1,1,1
2026 Scotties Tournament of Hearts,46d9b860,2,0,3,3,-1,5,0,1,0,2,1
2026 Scotties Tournament of Hearts,46d9b860,2,0,1,4,-1,4,0,1,1,2,1
2026 Scotties Tournament of Hearts,46d9b860,-3,3,2,2,0,3,0,1,0,-1,1
2026 Scotties Tournament of Hearts,46d9b860,2,1,1,-3,1,2,1,1,1,-1,1
2026 Scotties Tournament of Hearts,46d9b860,1,0,-4,1,1,1,1,1,0,1,1
2026 Scotties Tournament of Hearts,f175680e,2,-3,-1,3,0,9,0,0,0,1,0
2026 Scotties Tournament of Hearts,f175680e,0,-1,-3,-2,0,8,0,0,1,-1,0
2026 Scotties Tournament of Hearts,f175680e,-2,-4,-2,-2,1,7,1,0,0,-1,0
2026 Scotties Tournament of Hearts,f175680e,1,1,0,3,0,6,1,0,1,1,0
2026 Scotties Tournament of Hearts,f175680e,-1,-3,-1,0,0,5,0,0,0,0,0
2026 Scotties Tournament of Hearts,f175680e,-3,-1,0,0,0,4,0,0,1,-1,0
2026 Scotties Tournament of Hearts,f175680e,0,0,-1,1,0,3,1,0,0,0,0
2026 Scotties Tournament of Hearts,f175680e,-1,0,-3,-1,0,2,1,0,1,-1,0
2026 Scotties Tournament of Hearts,f175680e,0,-4,0,-2,0,1,1,0,0,1,0
2026 Scotties Tournament of Hearts,f175680e,-1,0,0,2,0,0,0,0,1,-2,0
2026 Scotties Tournament of Hearts,e48b2d60,6,0,5,5,-1,9,0,0,0,3,1
2026 Scotties Tournament of Hearts,e48b2d60,1,-2,6,2,-2,8,0,0,1,1,1
2026 Scotties Tournament of Hearts,e48b2d60,1,-4,4,7,-2,7,0,0,0,1,1
2026 Scotties Tournament of Hearts,e48b2d60,1,2,4,1,0,6,0,0,1,-1,1
2026 Scotties Tournament of Hearts,e48b2d60,0,0,-4,1,2,5,1,0,0,2,1
2026 Scotties Tournament of Hearts,e48b2d60,3,6,2,-1,0,4,0,0,1,-2,1
2026 Scotties Tournament of Hearts,e48b2d60,0,4,0,3,0,3,1,0,0,2,1
2026 Scotties Tournament of Hearts,e48b2d60,0,4,-3,0,0,2,0,0,1,-1,1
2026 Scotties Tournament of Hearts,01a9dcd0,1,0,6,-3,0,9,0,0,0,-3,0
2026 Scotties Tournament of Hearts,01a9dcd0,-3,5,-1,-2,1,8,1,0,1,-1,0
2026 Scotties Tournament of Hearts,01a9dcd0,-4,-4,-8,-4,3,7,1,0,0,-1,0
2026 Scotties Tournament of Hearts,01a9dcd0,-1,-6,-2,2,0,6,1,0,1,1,0
2026 Scotties Tournament of Hearts,01a9dcd0,-4,-1,2,-3,0,5,0,0,0,-4,0
2026 Scotties Tournament of Hearts,01a9dcd0,-2,-5,0,-3,0,4,1,0,1,1,0
2026 Scotties Tournament of Hearts,01a9dcd0,5,0,-1,-2,0,3,0,0,0,-1,0
2026 Scotties Tournament of Hearts,01a9dcd0,1,0,-1,0,1,2,1,0,1,2,0
2026 Scotties Tournament of Hearts,b2d1d791,3,0,-2,-3,1,9,1,1,0,-1,0
2026 Scotties Tournament of Hearts,b2d1d791,0,-2,1,2,0,8,1,1,1,1,0
2026 Scotties Tournament of Hearts,b2d1d791,-3,0,-1,0,0,7,0,1,0,0,0
2026 Scotties Tournament of Hearts,b2d1d791,-3,-3,4,-4,0,6,0,1,1,-2,0
2026 Scotties Tournament of Hearts,b2d1d791,-4,-2,-3,-3,0,5,1,1,0,-1,0
2026 Scotties Tournament of Hearts,b2d1d791,2,-1,-2,0,0,4,1,1,1,1,0
2026 Scotties Tournament of Hearts,b2d1d791,3,0,1,-4,1,3,0,1,0,-2,0
2026 Scotties Tournament of Hearts,b2d1d791,0,0,3,0,-1,2,1,1,1,1,0
2026 Scotties Tournament of Hearts,b2d1d791,2,-5,-1,0,0,1,0,1,0,-1,0
2026 Scotties Tournament of Hearts,e99fb3dd,1,0,-2,-1,0,9,1,1,0,1,0
2026 Scotties Tournament of Hearts,e99fb3dd,0,0,2,-1,0,8,0,1,1,-2,0
2026 Scotties Tournament of Hearts,e99fb3dd,2,-2,-1,-3,1,7,1,1,0,-1,0
2026 Scotties Tournament of Hearts,e99fb3dd,2,-4,-2,-5,0,6,1,1,1,-1,0
2026 Scotties Tournament of Hearts,e99fb3dd,-2,-4,1,2,0,5,1,1,0,2,0
2026 Scotties Tournament of Hearts,e99fb3dd,1,-1,0,-3,0,4,0,1,1,-2,0
2026 Scotties Tournament of Hearts,e99fb3dd,1,-1,-3,-4,1,3,1,1,0,-2,0
2026 Scotties Tournament of Hearts,e99fb3dd,-1,1,-3,-2,1,2,1,1,1,1,0
2026 Scotties Tournament of Hearts,e99fb3dd,0,-2,0,-1,0,1,0,1,0,-2,0
2026 Scotties Tournament of Hearts,5cba61c5,0,2,0,0,0,9,1,1,0,1,0
2026 Scotties Tournament of Hearts,5cba61c5,-1,-7,-2,-3,0,8,0,1,1,-3,0
2026 Scotties Tournament of Hearts,5cba61c5,0,0,0,0,0,7,1,1,0,0,0
2026 Scotties Tournament of Hearts,5cba61c5,3,2,-1,-4,2,6,1,1,1,-2,0
2026 Scotties Tournament of Hearts,5cba61c5,-4,-2,0,-2,0,5,1,1,0,1,0
2026 Scotties Tournament of Hearts,5cba61c5,-1,2,3,-5,1,4,0,1,1,-3,0
2026 Scotties Tournament of Hearts,5cba61c5,2,0,-1,-1,0,3,1,1,0,2,0
2026 Scotties Tournament of Hearts,5cba61c5,0,-2,-1,2,0,2,0,1,1,-1,0
2026 Scotties Tournament of Hearts,5cba61c5,0,-2,-2,-4,1,1,1,1,0,-1,0
2026 Scotties Tournament of Hearts,b9168a31,1,2,0,-7,1,9,1,1,0,-2,0
2026 Scotties Tournament of Hearts,b9168a31,1,-3,-2,-2,1,8,1,1,1,1,0
2026 Scotties Tournament of Hearts,b9168a31,2,1,-6,-5,1,7,0,1,0,-3,0
2026 Scotties Tournament of Hearts,b9168a31,0,0,0,-1,0,6,1,1,1,2,0
2026 Scotties Tournament of Hearts,b9168a31,-3,0,1,-3,1,5,0,1,0,-1,0
2026 Scotties Tournament of Hearts,b9168a31,4,2,-1,-5,0,4,1,1,1,-2,0
2026 Scotties Tournament of Hearts,b9168a31,4,4,3,-1,-1,3,1,1,0,2,0
2026 Scotties Tournament of Hearts,b9168a31,0,-1,0,8,-2,2,0,1,1,2,0
2026 Scotties Tournament of Hearts,b9168a31,3,0,4,0,-1,1,0,1,0,-2,0
2026 Scotties Tournament of Hearts,b9168a31,4,0,1,3,-1,0,1,1,1,3,0
2026 Scotties Tournament of Hearts,80e47fed,0,-2,0,1,0,9,0,0,0,-1,1
2026 Scotties Tournament of Hearts,80e47fed,0,1,1,-1,1,8,1,0,1,1,1
2026 Scotties Tournament of Hearts,80e47fed,1,1,2,0,-1,7,0,0,0,0,1
2026 Scotties Tournament of Hearts,80e47fed,2,4,-1,4,-1,6,0,0,1,1,1
2026 Scotties Tournament of Hearts,80e47fed,-2,-1,6,-3,-1,5,0,0,0,-1,1
2026 Scotties Tournament of Hearts,80e47fed,2,-2,-3,-4,1,4,1,0,1,-1,1
2026 Scotties Tournament of Hearts,80e47fed,0,4,0,-3,0,3,1,0,0,1,1
2026 Scotties Tournament of Hearts,80e47fed,-1,2,0,-1,1,2,0,0,1,1,1
2026 Scotties Tournament of Hearts,80e47fed,2,1,3,5,-1,1,0,0,0,1,1
2026 Scotties Tournament of Hearts,80e47fed,4,-2,-2,0,0,0,0,0,1,-2,1
2026 Scotties Tournament of Hearts,80e47fed,3,-1,0,1,0,-1,1,0,0,3,1
2026 Scotties Tournament of Hearts,98d1c1a9,1,4,2,-3,0,9,0,0,0,-1,0
2026 Scotties Tournament of Hearts,98d1c1a9,-4,0,-1,-8,2,8,1,0,1,-4,0
2026 Scotties Tournament of Hearts,98d1c1a9,-1,-1,-3,-3,0,7,1,0,0,-1,0
2026 Scotties Tournament of Hearts,98d1c1a9,0,-2,-2,0,0,6,1,0,1,1,0
2026 Scotties Tournament of Hearts,98d1c1a9,0,4,-2,-3,0,5,0,0,0,-2,0
2026 Scotties Tournament of Hearts,98d1c1a9,2,-2,0,0,0,4,1,0,1,1,0
2026 Scotties Tournament of Hearts,98d1c1a9,4,0,-5,-4,0,3,0,0,0,-2,0
2026 Scotties Tournament of Hearts,98d1c1a9,4,0,-4,-8,2,2,1,0,1,-3,0
2026 Scotties Tournament of Hearts,ae2af812,2,-3,1,2,0,9,0,0,0,-1,1
2026 Scotties Tournament of Hearts,ae2af812,-1,0,0,0,0,8,1,0,1,1,1
2026 Scotties Tournament of Hearts,ae2af812,1,0,1,2,0,7,0,0,0,1,1
