event,game,delta_lead,delta_second,delta_third,delta_fourth,delta_backend_zeroes,delta_zeroes_hammer,delta_zeroes_steal,delta_ends_hammer,ends_remaining,team_a_hammer,LSFE_a,is_even_end,a_margin,a_win_game
2024 Montana's Brier,8430e322,0,1,1,-1,0,0,0,0,8,1,0,1,-1,0
2024 Montana's Brier,8430e322,0,0,-2,3,-1,0,-1,1,7,1,0,0,2,0
2024 Montana's Brier,8430e322,0,0,-5,-4,2,0,2,0,6,0,0,1,-5,0
2024 Montana's Brier,8430e322,0,-1,-4,2,1,1,0,1,5,1,0,0,1,0
2024 Montana's Brier,8430e322,0,1,2,-2,0,0,0,0,4,0,0,1,-1,0
2024 Montana's Brier,8430e322,0,0,-4,0,1,2,-1,1,3,1,0,0,0,0
2024 Montana's Brier,8430e322,0,-3,-3,-4,1,1,0,2,2,1,0,1,-5,0
2024 Montana's Brier,eae1e0bc,-2,2,-1,3,-1,-1,0,-1,9,0,0,0,-1,0
2024 Montana's Brier,eae1e0bc,0,-1,1,2,0,0,0,0,8,1,0,1,-1,0
2024 Montana's Brier,eae1e0bc,-4,2,-2,-1,0,1,0,1,7,1,0,0,1,0
2024 Montana's Brier,eae1e0bc,1,-5,5,4,-2,-2,1,0,6,0,0,1,1,0
2024 Montana's Brier,eae1e0bc,4,2,-1,-3,0,0,0,-1,5,0,0,0,-2,0
2024 Montana's Brier,eae1e0bc,1,2,0,-3,1,1,0,0,4,1,0,1,-1,0
2024 Montana's Brier,eae1e0bc,-1,3,1,0,0,0,-1,1,3,1,0,0,1,0
2024 Montana's Brier,eae1e0bc,-2,-6,-2,-4,0,0,1,0,2,0,0,1,-3,0
2024 Montana's Brier,e5862cfe,-2,2,-1,2,0,0,0,-1,9,0,0,0,-1,0
2024 Montana's Brier,e5862cfe,-1,-2,0,-3,0,0,0,0,8,1,0,1,1,0
2024 Montana's Brier,e5862cfe,-1,0,1,0,0,0,0,-1,7,0,0,0,-1,0
2024 Montana's Brier,e5862cfe,-4,-1,0,0,0,1,0,0,6,1,0,1,1,0
2024 Montana's Brier,e5862cfe,-1,1,0,1,0,0,0,-1,5,0,0,0,-1,0
2024 Montana's Brier,e5862cfe,-1,-2,-1,0,0,0,0,0,4,1,0,1,1,0
2024 Montana's Brier,e5862cfe,0,0,0,0,0,0,0,-1,3,0,0,0,0,0
2024 Montana's Brier,e5862cfe,0,-3,-3,-4,0,0,0,-2,2,0,0,1,-2,0
2024 Montana's Brier,e5862cfe,2,-2,-2,-3,0,0,0,-1,1,1,0,0,-2,0
2024 Montana's Brier,6a258b9c,1,2,2,0,-1,-1,0,-1,9,0,0,0,-1,1
2024 Montana's Brier,6a258b9c,-3,-1,5,0,-1,1,-1,0,8,1,0,1,0,1
2024 Montana's Brier,6a258b9c,0,-1,2,0,0,0,0,1,7,1,0,0,0,1
2024 Montana's Brier,6a258b9c,4,2,0,-3,1,1,-1,2,6,1,0,1,0,1
2024 Montana's Brier,6a258b9c,0,-1,2,0,0,0,0,3,5,1,0,0,0,1
2024 Montana's Brier,6a258b9c,0,0,0,-1,0,0,0,4,4,1,0,1,2,1
2024 Montana's Brier,6a258b9c,-1,-1,-1,4,-1,-1,0,3,3,0,0,0,2,1
2024 Montana's Brier,6a258b9c,-1,2,1,4,-1,-1,0,2,2,0,0,1,-1,1
2024 Montana's Brier,6a258b9c,-1,0,-2,-4,1,1,0,3,1,1,0,0,1,1
2024 Montana's Brier,6a258b9c,-2,4,0,-6,1,-1,1,2,0,0,0,1,-3,1
2024 Montana's Brier,6a258b9c,-2,-2,-1,0,0,1,0,3,-1,1,0,0,1,1
2024 Montana's Brier,2f9a97c4,3,-1,3,2,-1,-1,0,-1,9,0,0,0,-1,0
2024 Montana's Brier,2f9a97c4,0,6,0,-1,-1,0,-2,0,8,1,0,1,1,0
2024 Montana's Brier,2f9a97c4,-1,2,0,0,0,0,0,-1,7,0,0,0,-1,0
2024 Montana's Brier,2f9a97c4,0,-3,-3,-2,0,0,0,0,6,1,0,1,1,0
2024 Montana's Brier,2f9a97c4,1,-1,-1,-6,1,0,1,-1,5,0,0,0,-3,0
2024 Montana's Brier,2f9a97c4,0,0,-1,1,0,0,0,0,4,1,0,1,2,0
2024 Montana's Brier,2f9a97c4,0,5,-1,-2,0,0,0,-1,3,0,0,0,-2,0
2024 Montana's Brier,2f9a97c4,0,2,1,2,-1,0,-1,0,2,1,0,1,2,0
2024 Montana's Brier,2f9a97c4,0,-1,0,-4,1,0,1,-1,1,0,0,0,-3,0
2024 Montana's Brier,ac087cee,1,1,1,3,0,0,0,-1,9,0,0,0,1,1
2024 Montana's Brier,ac087cee,1,0,2,0,0,0,0,-2,8,0,0,1,-3,1
2024 Montana's Brier,ac087cee,0,2,-1,2,0,0,0,-1,7,1,0,0,2,1
2024 Montana's Brier,ac087cee,0,-1,-5,-4,0,0,0,-2,6,0,0,1,-2,1
2024 Montana's Brier,ac087cee,2,-3,0,0,0,0,0,-1,5,1,0,0,1,1
2024 Montana's Brier,ac087cee,2,-1,-1,7,-1,-1,0,-2,4,0,0,1,2,1
2024 Montana's Brier,ac087cee,0,-3,0,0,-1,-1,0,-3,3,0,0,0,-2,1
2024 Montana's Brier,ac087cee,-2,3,0,1,0,0,0,-2,2,1,0,1,2,1
2024 Montana's Brier,ac087cee,0,3,-3,0,0,0,0,-3,1,0,0,0,-1,1
2024 Montana's Brier,ac087cee,1,4,0,1,0,0,-1,-2,0,1,0,1,1,1
2024 Montana's Brier,61545c38,-3,0,4,8,-2,-3,1,-1,9,0,0,0,3,1
2024 Montana's Brier,61545c38,1,-1,2,0,0,0,0,-2,8,0,0,1,-1,1
2024 Montana's Brier,61545c38,-4,4,0,0,0,1,-1,-1,7,1,0,0,0,1
2024 Montana's Brier,61545c38,0,4,2,3,0,0,0,0,6,1,0,1,2,1
2024 Montana's Brier,61545c38,2,2,3,0,0,0,0,-1,5,0,0,0,-1,1
2024 Montana's Brier,61545c38,0,1,1,-4,1,1,0,0,4,1,0,1,1,1
2024 Montana's Brier,61545c38,0,3,1,4,-1,-1,0,-1,3,0,0,0,0,1
2024 Montana's Brier,61545c38,0,0,2,1,0,0,0,-2,2,0,0,1,-1,1
2024 Montana's Brier,61545c38,4,-1,0,-3,1,1,-1,-1,1,1,0,0,1,1
2024 Montana's Brier,4f68d09f,0,2,0,-2,1,1,0,1,9,1,1,0,0,0
2024 Montana's Brier,4f68d09f,1,1,3,2,-1,0,-1,2,8,1,1,1,2,0
2024 Montana's Brier,4f68d09f,0,3,2,-5,1,0,1,1,7,0,1,0,-2,0
2024 Montana's Brier,4f68d09f,1,0,0,-2,1,1,0,2,6,1,1,1,0,0
2024 Montana's Brier,4f68d09f,2,3,0,0,0,0,0,3,5,1,1,0,2,0
2024 Montana's Brier,4f68d09f,-1,3,2,2,0,0,0,2,4,0,1,1,-1,0
2024 Montana's Brier,4f68d09f,-3,1,-1,1,0,0,0,3,3,1,1,0,1,0
2024 Montana's Brier,4f68d09f,0,-3,0,4,-1,-1,1,2,2,0,1,1,-1,0
2024 Montana's Brier,4f68d09f,1,0,0,-1,0,0,0,3,1,1,1,0,-1,0
2024 Montana's Brier,4f68d09f,0,1,0,-2,1,1,0,4,0,1,1,1,-1,0
2024 Montana's Brier,c2115f24,1,-1,-3,3,0,1,-1,1,9,1,1,0,1,0
2024 Montana's Brier,c2115f24,0,-3,-4,0,0,0,0,0,8,0,1,1,-1,0
2024 Montana's Brier,c2115f24,-1,0,0,0,0,0,0,1,7,1,1,0,0,0
2024 Montana's Brier,c2115f24,-1,0,5,2,0,0,0,2,6,1,1,1,2,0
2024 Montana's Brier,c2115f24,0,-1,-3,-4,1,0,1,1,5,0,1,0,-4,0
2024 Montana's Brier,c2115f24,-3,6,2,2,-1,0,-2,2,4,1,1,1,2,0
2024 Montana's Brier,c2115f24,-1,-2,0,0,0,0,0,1,3,0,1,0,-1,0
2024 Montana's Brier,c2115f24,2,-6,1,2,0,0,0,2,2,1,1,1,2,0
2024 Montana's Brier,c2115f24,2,-2,-6,-4,1,0,1,1,1,0,1,0,-5,0
2024 Montana's Brier,5c8b44a7,1,-1,-2,-2,0,0,0,-1,9,0,0,0,-1,0
2024 Montana's Brier,5c8b44a7,-1,-5,-2,-7,2,3,0,0,8,1,0,1,-2,0
2024 Montana's Brier,5c8b44a7,1,1,-3,-3,0,0,0,1,7,1,0,0,1,0
2024 Montana's Brier,5c8b44a7,0,-3,-2,2,-1,-2,2,0,6,0,0,1,1,0
2024 Montana's Brier,5c8b44a7,-1,1,-6,-2,1,0,1,-1,5,0,0,0,-2,0
2024 Montana's Brier,5c8b44a7,0,2,-5,-4,1,1,-1,0,4,1,0,1,0,0
2024 Montana's Brier,5c8b44a7,3,-2,-4,-3,0,0,0,1,3,1,0,0,-1,0
2024 Montana's Brier,5c8b44a7,0,0,-3,-4,0,0,0,2,2,1,0,1,-1,0
2024 Montana's Brier,589b128b,-1,0,-1,1,-1,-1,0,-1,9,0,0,0,0,0
2024 Montana's Brier,589b128b,-1,-6,0,0,0,0,0,-2,8,0,0,1,-2,0
2024 Montana's Brier,589b128b,0,-2,2,-2,0,0,0,-1,7,1,0,0,-1,0
2024 Montana's Brier,589b128b,-3,-1,-1,2,0,0,0,0,6,1,0,1,0,0
2024 Montana's Brier,589b128b,0,0,-1,-7,1,1,0,1,5,1,0,0,-1,0
2024 Montana's Brier,589b128b,0,0,0,0,0,0,0,2,4,1,0,1,0,0
2024 Montana's Brier,589b128b,0,0,-2,4,0,0,0,3,3,1,0,0,2,0
2024 Montana's Brier,589b128b,0,0,-1,-4,1,0,1,2,2,0,0,1,-4,0
2024 Montana's Brier,94d74b98,0,0,0,0,0,0,0,1,9,1,1,0,0,1
2024 Montana's Brier,94d74b98,2,1,-3,5,0,0,0,2,8,1,1,1,2,1
2024 Montana's Brier,94d74b98,2,2,0,-3,0,0,0,1,7,0,1,0,-2,1
2024 Montana's Brier,94d74b98,1,-1,2,0,0,0,0,2,6,1,1,1,2,1
2024 Montana's Brier,94d74b98,0,-1,0,-3,0,0,0,1,5,0,1,0,-2,1
2024 Montana's Brier,94d74b98,0,-2,3,0,1,1,0,2,4,1,1,1,2,1
2024 Montana's Brier,94d74b98,3,0,4,-7,1,-1,2,1,3,0,1,0,-2,1
2024 Montana's Brier,94d74b98,1,1,2,2,0,0,0,2,2,1,1,1,0,1
2024 Montana's Brier,94d74b98,0,0,0,4,-1,0,-1,3,1,1,1,0,2,1
2024 Montana's Brier,94d74b98,0,5,-2,-5,1,-1,1,2,0,0,1,1,-2,1
2024 Montana's Brier,94d74b98,1,0,2,0,0,0,-1,3,-1,1,1,0,1,1
2024 Montana's Brier,38590588,0,0,1,-5,1,1,0,1,9,1,1,0,-1,1
2024 Montana's Brier,38590588,-1,0,0,3,0,0,0,2,8,1,1,1,1,1
2024 Montana's Brier,38590588,-4,-1,0,-3,-1,-1,1,1,7,0,1,0,-2,1
2024 Montana's Brier,38590588,-1,1,-1,0,0,0,0,2,6,1,1,1,2,1
2024 Montana's Brier,38590588,2,3,0,3,0,0,0,1,5,0,1,0,1,1
2024 Montana's Brier,38590588,0,2,0,0,0,0,0,0,4,0,1,1,-1,1
2024 Montana's Brier,38590588,0,0,2,1,0,0,0,1,3,1,1,0,0,1
2024 Montana's Brier,38590588,-1,2,-1,-1,0,0,0,2,2,1,1,1,1,1
2024 Montana's Brier,38590588,2,1,3,-3,0,0,0,1,1,0,1,0,-2,1
2024 Montana's Brier,38590588,2,0,-3,-1,0,0,0,2,0,1,1,1,2,1
2024 Montana's Brier,84585086,-1,0,0,0,0,0,0,1,9,1,1,0,1,1
2024 Montana's Brier,84585086,2,4,0,-1,0,0,0,0,8,0,1,1,0,1
2024 Montana's Brier,84585086,5,2,4,-1,-1,-1,0,-1,7,0,1,0,-1,1
2024 Montana's Brier,84585086,0,5,-3,-2,2,2,0,0,6,1,1,1,0,1
2024 Montana's Brier,84585086,0,-4,0,-1,0,0,0,1,5,1,1,0,2,1
2024 Montana's Brier,84585086,0,-4,-2,4,-1,-1,1,0,4,0,1,1,-1,1
2024 Montana's Brier,84585086,-1,-4,-4,0,0,0,0,1,3,1,1,0,1,1
2024 Montana's Brier,84585086,0,2,4,0,0,0,0,0,2,0,1,1,-1,1
2024 Montana's Brier,84585086,0,1,0,0,0,0,0,1,1,1,1,0,2,1
2024 Montana's Brier,84585086,2,4,-4,-2,1,0,1,0,0,0,1,1,-3,1
2024 Montana's Brier,84585086,0,1,-2,2,0,0,0,1,-1,1,1,0,1,1
2024 Montana's Brier,3a1029ee,3,1,1,-1,1,1,0,1,9,1,1,0,-1,1
2024 Montana's Brier,3a1029ee,0,-2,1,2,1,1,0,2,8,1,1,1,2,1
2024 Montana's Brier,3a1029ee,0,-1,0,0,0,0,0,1,7,0,1,0,0,1
2024 Montana's Brier,3a1029ee,0,0,-1,0,0,0,0,0,6,0,1,1,-1,1
2024 Montana's Brier,3a1029ee,0,-1,0,-4,1,2,0,1,5,1,1,0,0,1
2024 Montana's Brier,3a1029ee,0,0,0,1,0,0,0,2,4,1,1,1,3,1
2024 Montana's Brier,3a1029ee,0,3,0,0,0,0,0,1,3,0,1,0,-1,1
2024 Montana's Brier,3a1029ee,0,0,0,2,0,0,0,2,2,1,1,1,0,1
2024 Montana's Brier,3a1029ee,0,1,1,0,0,0,0,3,1,1,1,0,3,1
2024 Montana's Brier,fafb3362,2,2,-2,-2,0,0,0,-1,9,0,0,0,-2,1
2024 Montana's Brier,fafb3362,1,4,5,4,0,0,0,0,8,1,0,1,4,1
2024 Montana's Brier,fafb3362,0,-2,1,5,-1,-1,0,-1,7,0,0,0,3,1
2024 Montana's Brier,fafb3362,0,-1,-1,0,0,0,0,-2,6,0,0,1,-2,1
2024 Montana's Brier,fafb3362,1,-4,1,-2,0,1,0,-1,5,1,0,0,1,1
2024 Montana's Brier,fafb3362,-1,1,-1,0,1,0,1,-2,4,0,0,1,-2,1
2024 Montana's Brier,fafb3362,0,-1,1,4,-1,0,-1,-1,3,1,0,0,0,1
2024 Montana's Brier,fafb3362,1,1,-1,2,0,0,0,0,2,1,0,1,0,1
2024 Montana's Brier,fafb3362,-2,1,0,-4,1,1,0,1,1,1,0,0,-1,1
2024 Montana's Brier,fafb3362,1,-1,0,2,0,0,0,2,0,1,0,1,1,1
2024 Montana's Brier,cddd3980,-1,-4,2,5,-1,0,-1,1,9,1,1,0,3,1
2024 Montana's Brier,cddd3980,2,-1,1,-1,0,0,0,0,8,0,1,1,-2,1
2024 Montana's Brier,cddd3980,-2,1,-3,-3,0,0,0,1,7,1,1,0,1,1
2024 Montana's Brier,cddd3980,0,3,-4,-1,0,-1,0,0,6,0,1,1,-2,1
2024 Montana's Brier,cddd3980,0,-3,5,4,-1,0,-1,1,5,1,1,0,2,1
2024 Montana's Brier,cddd3980,0,-4,2,2,0,0,1,0,4,0,1,1,1,1
2024 Montana's Brier,cddd3980,0,1,-1,-2,0,0,0,-1,3,0,1,0,-2,1
2024 Montana's Brier,cddd3980,-3,-3,0,-8,2,2,0,0,2,1,1,1,-1,1
2024 Montana's Brier,cddd3980,-1,5,3,6,-1,0,-1,1,1,1,1,0,4,1
2024 Montana's Brier,8e9ece2c,-3,-2,-2,-1,0,0,0,1,9,1,1,0,1,0
2024 Montana's Brier,8e9ece2c,0,0,-1,2,-1,-1,0,0,8,0,1,1,-2,0
2024 Montana's Brier,8e9ece2c,3,1,-4,0,0,0,0,1,7,1,1,0,1,0
2024 Montana's Brier,8e9ece2c,0,6,-1,1,0,-1,0,0,6,0,1,1,-1,0
2024 Montana's Brier,8e9ece2c,-3,2,0,4,0,0,0,1,5,1,1,0,2,0
2024 Montana's Brier,8e9ece2c,-1,1,-1,-2,0,0,0,0,4,0,1,1,-2,0
2024 Montana's Brier,8e9ece2c,-3,-1,0,-3,0,0,0,1,3,1,1,0,-1,0
2024 Montana's Brier,8e9ece2c,0,-4,-4,-6,1,1,0,2,2,1,1,1,-1,0
2024 Montana's Brier,8e9ece2c,0,-3,-1,-3,0,0,0,3,1,1,1,0,1,0
2024 Montana's Brier,8e9ece2c,4,0,0,-2,0,-1,0,2,0,0,1,1,1,0
2024 Montana's Brier,5b3ca1f3,-2,3,2,2,-1,-1,1,-1,9,0,0,0,-1,0
2024 Montana's Brier,5b3ca1f3,0,-1,-3,-2,1,1,0,0,8,1,0,1,-1,0
2024 Montana's Brier,5b3ca1f3,-2,-4,0,0,-1,3,-2,1,7,1,0,0,1,0
2024 Montana's Brier,5b3ca1f3,0,2,3,2,0,-1,0,0,6,0,0,1,-1,0
2024 Montana's Brier,5b3ca1f3,-3,2,-2,-5,2,2,0,1,5,1,0,0,-1,0
2024 Montana's Brier,5b3ca1f3,3,-2,2,6,-1,0,-1,2,4,1,0,1,3,0
2024 Montana's Brier,5b3ca1f3,-2,1,2,0,0,0,0,1,3,0,0,0,-2,0
2024 Montana's Brier,5b3ca1f3,3,0,2,-2,1,1,0,2,2,1,0,1,0,0
2024 Montana's Brier,5b3ca1f3,-3,-5,0,0,0,2,0,3,1,1,0,0,0,0
2024 Montana's Brier,161e6021,4,0,4,0,0,-1,0,-1,9,0,0,0,-1,1
2024 Montana's Brier,161e6021,0,0,-1,3,0,0,0,0,8,1,0,1,3,1
2024 Montana's Brier,161e6021,0,0,0,-1,0,0,0,-1,7,0,0,0,-2,1
2024 Montana's Brier,161e6021,1,0,1,2,0,0,0,0,6,1,0,1,3,1
2024 Montana's Brier,161e6021,1,1,-1,1,0,0,0,-1,5,0,0,0,0,1
2024 Montana's Brier,161e6021,-2,1,3,8,-2,-2,0,-2,4,0,0,1,3,1
2024 Montana's Brier,161e6021,-4,1,3,1,0,0,1,-3,3,0,0,0,-1,1
2024 Montana's Brier,161e6021,0,2,-5,0,1,1,0,-2,2,1,0,1,1,1
2024 Montana's Brier,374ff1c8,0,2,1,1,0,0,0,1,9,1,1,0,2,1
2024 Montana's Brier,374ff1c8,-1,3,3,1,0,0,0,0,8,0,1,1,-1,1
2024 Montana's Brier,374ff1c8,-1,4,-1,4,0,0,0,1,7,1,1,0,2,1
2024 Montana's Brier,374ff1c8,1,0,0,-6,1,0,1,0,6,0,1,1,-2,1
2024 Montana's Brier,374ff1c8,-2,1,-4,-3,1,1,0,1,5,1,1,0,-1,1
2024 Montana's Brier,374ff1c8,2,-1,3,5,0,0,0,2,4,1,1,1,3,1
2024 Montana's Brier,374ff1c8,-1,1,-1,5,0,0,0,1,3,0,1,0,1,1
2024 Montana's Brier,374ff1c8,4,0,2,7,-1,-2,0,0,2,0,1,1,2,1
2024 Montana's Brier,2c545c21,-2,3,2,5,0,0,0,1,9,1,1,0,2,1
2024 Montana's Brier,2c545c21,-2,0,1,3,0,0,0,0,8,0,1,1,2,1
2024 Montana's Brier,2c545c21,0,3,2,5,-1,-1,0,-1,7,0,1,0,1,1
2024 Montana's Brier,2c545c21,0,2,2,-3,0,0,0,-2,6,0,1,1,-2,1
2024 Montana's Brier,2c545c21,3,0,0,2,0,0,-1,-1,5,1,1,0,2,1
2024 Montana's Brier,2c545c21,3,2,5,2,0,0,0,-2,4,0,1,1,-1,1
2024 Montana's Brier,2c545c21,-5,3,0,3,0,1,0,-1,3,1,1,0,2,1
2024 Montana's Brier,2c545c21,-2,-4,1,2,0,0,1,-2,2,0,1,1,-1,1
2024 Montana's Brier,2c545c21,-5,3,1,1,0,1,0,-1,1,1,1,0,2,1
2024 Montana's Brier,58ecc1ce,0,-5,1,-2,1,2,0,1,9,1,1,0,2,1
2024 Montana's Brier,58ecc1ce,0,2,-1,1,0,0,0,0,8,0,1,1,-1,1
2024 Montana's Brier,58ecc1ce,0,6,-1,-4,1,1,0,1,7,1,1,0,1,1
2024 Montana's Brier,58ecc1ce,-1,2,-3,0,0,0,0,0,6,0,1,1,-2,1
2024 Montana's Brier,58ecc1ce,-2,1,0,2,0,0,0,1,5,1,1,0,2,1
2024 Montana's Brier,58ecc1ce,-1,1,0,4,-1,-1,0,0,4,0,1,1,1,1
2024 Montana's Brier,58ecc1ce,1,2,-1,3,0,0,0,-1,3,0,1,0,1,1
2024 Montana's Brier,58ecc1ce,4,3,0,1,0,-1,0,-2,2,0,1,1,-1,1
2024 Montana's Brier,58ecc1ce,0,0,0,0,0,0,0,-1,1,1,1,0,1,1
2024 Montana's Brier,0d2773e0,-3,0,0,5,0,0,0,1,9,1,1,0,2,1
2024 Montana's Brier,0d2773e0,0,-1,0,3,0,0,0,0,8,0,1,1,-1,1
2024 Montana's Brier,0d2773e0,-4,-5,-3,-2,0,1,0,1,7,1,1,0,-1,1
2024 Montana's Brier,0d2773e0,-3,1,3,3,0,0,0,2,6,1,1,1,2,1
2024 Montana's Brier,0d2773e0,-2,2,0,3,-1,-1,0,1,5,0,1,0,1,1
2024 Montana's Brier,0d2773e0,-1,0,0,4,-1,-1,0,0,4,0,1,1,1,1
2024 Montana's Brier,0d2773e0,1,1,3,2,0,0,0,-1,3,0,1,0,-1,1
2024 Montana's Brier,0d2773e0,-1,1,0,0,0,0,0,0,2,1,1,1,1,1
2024 Montana's Brier,0d2773e0,-2,2,1,-2,0,0,0,-1,1,0,1,0,-2,1
2024 Montana's Brier,0d2773e0,-3,2,0,0,0,1,0,0,0,1,1,1,-1,1
2024 Montana's Brier,2a838590,-1,-3,0,3,-1,-1,0,-1,9,0,0,0,0,1
2024 Montana's Brier,2a838590,-3,2,-1,6,0,0,0,-2,8,0,0,1,-1,1
2024 Montana's Brier,2a838590,0,0,-2,-2,0,0,0,-1,7,1,0,0,1,1
2024 Montana's Brier,2a838590,-3,-2,2,4,-1,-1,2,-2,6,0,0,1,1,1
2024 Montana's Brier,2a838590,0,-1,0,1,-1,-1,0,-3,5,0,0,0,-1,1
2024 Montana's Brier,2a838590,0,-1,1,-3,1,1,0,-2,4,1,0,1,1,1
2024 Montana's Brier,2a838590,0,0,5,1,-1,-1,0,-3,3,0,0,0,-1,1
2024 Montana's Brier,2a838590,-1,2,0,4,-1,0,-1,-2,2,1,0,1,2,1
2024 Montana's Brier,2a838590,0,2,3,3,0,0,0,-3,1,0,0,0,-1,1
2024 Montana's Brier,2a838590,-3,0,-6,0,0,2,-1,-2,0,1,0,1,2,1
2024 Montana's Brier,10d1cd08,-2,2,-2,-3,1,0,1,-1,9,0,0,0,-2,1
2024 Montana's Brier,10d1cd08,0,0,-1,1,0,0,0,0,8,1,0,1,1,1
2024 Montana's Brier,10d1cd08,0,2,1,1,0,0,0,-1,7,0,0,0,-1,1
2024 Montana's Brier,10d1cd08,0,-5,-1,1,0,1,0,0,6,1,0,1,2,1
2024 Montana's Brier,10d1cd08,0,0,-2,3,-1,-1,0,-1,5,0,0,0,2,1
2024 Montana's Brier,10d1cd08,3,1,-2,0,0,0,0,-2,4,0,0,1,0,1
2024 Montana's Brier,10d1cd08,1,-1,2,0,0,0,0,-3,3,0,0,0,-2,1
2024 Montana's Brier,10d1cd08,0,0,3,0,0,0,0,-2,2,1,0,1,1,1
2024 Montana's Brier,10d1cd08,0,3,-2,2,0,0,0,-3,1,0,0,0,-1,1
2024 Montana's Brier,10d1cd08,-4,0,4,-1,0,1,0,-2,0,1,0,1,1,1
2024 Montana's Brier,47b11b1f,2,2,-1,1,0,0,0,-1,9,0,0,0,-1,0
2024 Montana's Brier,47b11b1f,1,-1,-2,-3,1,1,0,0,8,1,0,1,-2,0
2024 Montana's Brier,47b11b1f,0,-1,-3,-3,1,1,0,1,7,1,0,0,1,0
2024 Montana's Brier,47b11b1f,0,-4,0,1,-1,-1,0,0,6,0,0,1,0,0
2024 Montana's Brier,47b11b1f,1,-3,3,3,0,0,0,-1,5,0,0,0,1,0
2024 Montana's Brier,47b11b1f,2,0,-2,1,-1,-1,0,-2,4,0,0,1,-1,0
2024 Montana's Brier,47b11b1f,2,1,1,5,0,0,0,-1,3,1,0,0,2,0
2024 Montana's Brier,47b11b1f,-2,0,0,0,0,0,0,-2,2,0,0,1,-1,0
2024 Montana's Brier,47b11b1f,0,1,-3,-1,-1,0,-1,-1,1,1,0,0,-1,0
2024 Montana's Brier,47b11b1f,3,2,-2,-7,1,1,0,0,0,1,0,1,-2,0
2024 Montana's Brier,f4588ccd,0,-5,2,-3,0,-1,2,-1,9,0,0,0,-2,0
2024 Montana's Brier,f4588ccd,-4,-6,-3,-5,0,2,0,0,8,1,0,1,-1,0
2024 Montana's Brier,f4588ccd,0,1,-3,-1,1,1,0,1,7,1,0,0,1,0
2024 Montana's Brier,f4588ccd,-2,-5,0,0,0,0,1,0,6,0,0,1,-3,0
2024 Montana's Brier,f4588ccd,-3,0,-1,-5,1,1,0,1,5,1,0,0,-1,0
2024 Montana's Brier,f4588ccd,0,-4,-2,0,0,0,0,2,4,1,0,1,1,0
2024 Montana's Brier,f4588ccd,0,0,-1,-3,0,0,0,1,3,0,0,0,-2,0
2024 Montana's Brier,f4588ccd,4,-4,-1,-2,0,0,-1,2,2,1,0,1,1,0
2024 Montana's Brier,3718b7fd,3,4,0,1,0,-1,0,-1,9,0,0,0,-1,0
2024 Montana's Brier,3718b7fd,1,3,0,-4,1,1,0,0,8,1,0,1,1,0
2024 Montana's Brier,3718b7fd,2,-3,-2,-2,0,0,0,-1,7,0,0,0,-2,0
2024 Montana's Brier,3718b7fd,1,0,0,-4,0,0,0,0,6,1,0,1,1,0
2024 Montana's Brier,3718b7fd,1,0,0,-1,0,0,0,-1,5,0,0,0,-3,0
2024 Montana's Brier,3718b7fd,1,2,-1,-3,0,0,0,0,4,1,0,1,-2,0
2024 Montana's Brier,3718b7fd,-1,0,-2,-2,0,0,0,1,3,1,0,0,1,0
2024 Montana's Brier,3718b7fd,4,-2,0,2,-1,-2,0,0,2,0,0,1,-1,0
2024 Montana's Brier,9bf5d89d,0,0,-2,2,-1,-1,0,-1,9,0,0,0,0,0
2024 Montana's Brier,9bf5d89d,-1,3,-1,2,-1,-1,0,-2,8,0,0,1,0,0
2024 Montana's Brier,9bf5d89d,4,0,3,-3,-1,-2,0,-3,7,0,0,0,-2,0
2024 Montana's Brier,9bf5d89d,1,0,3,4,0,0,0,-2,6,1,0,1,2,0
2024 Montana's Brier,9bf5d89d,1,1,0,2,0,0,0,-3,5,0,0,0,-1,0
2024 Montana's Brier,9bf5d89d,0,-2,2,2,0,1,0,-2,4,1,0,1,2,0
2024 Montana's Brier,9bf5d89d,2,2,1,-2,0,-1,1,-3,3,0,0,0,-2,0
2024 Montana's Brier,9bf5d89d,0,7,-3,-6,2,2,-1,-2,2,1,0,1,-1,0
2024 Montana's Brier,9bf5d89d,1,-1,0,-2,0,2,-1,-1,1,1,0,0,1,0
2024 Montana's Brier,9bf5d89d,-2,4,2,2,-2,-3,0,-2,0,0,0,1,-1,0
2024 Montana's Brier,72900e80,-1,2,0,2,0,0,0,1,9,1,1,0,0,1
2024 Montana's Brier,72900e80,-1,3,1,3,0,0,0,2,8,1,1,1,3,1
2024 Montana's Brier,72900e80,0,-1,3,-2,0,0,0,1,7,0,1,0,-2,1
2024 Montana's Brier,72900e80,3,0,1,2,0,0,0,2,6,1,1,1,2,1
2024 Montana's Brier,72900e80,3,0,4,2,-2,-2,0,1,5,0,1,0,0,1
2024 Montana's Brier,72900e80,0,0,2,0,0,0,0,0,4,0,1,1,-2,1
2024 Montana's Brier,72900e80,-3,1,1,-6,1,1,0,1,3,1,1,0,-1,1
2024 Montana's Brier,72900e80,-3,1,-1,-4,1,1,0,2,2,1,1,1,-2,1
2024 Montana's Brier,72900e80,-4,0,-2,5,-1,2,-2,3,1,1,1,0,3,1
2024 Montana's Brier,72900e80,3,2,0,2,0,0,0,2,0,0,1,1,-1,1
2024 Montana's Brier,72900e80,-2,3,-1,3,0,0,0,3,-1,1,1,0,2,1
